# Distance / pm;  g(r);  Integral
1.666666667;  0.000000000;  0.000000000
5.000000000;  0.000000000;  0.000000000
8.333333333;  0.000000000;  0.000000000
11.66666667;  0.000000000;  0.000000000
15.00000000;  0.000000000;  0.000000000
18.33333333;  0.000000000;  0.000000000
21.66666667;  0.000000000;  0.000000000
25.00000000;  0.000000000;  0.000000000
28.33333333;  0.000000000;  0.000000000
31.66666667;  0.000000000;  0.000000000
35.00000000;  0.000000000;  0.000000000
38.33333333;  0.000000000;  0.000000000
41.66666667;  0.000000000;  0.000000000
45.00000000;  0.000000000;  0.000000000
48.33333333;  0.000000000;  0.000000000
51.66666667;  0.000000000;  0.000000000
55.00000000;  0.000000000;  0.000000000
58.33333333;  0.000000000;  0.000000000
61.66666667;  0.000000000;  0.000000000
65.00000000;  0.000000000;  0.000000000
68.33333333;  0.000000000;  0.000000000
71.66666667;  0.000000000;  0.000000000
75.00000000;  0.000000000;  0.000000000
78.33333333;  0.000000000;  0.000000000
81.66666667;  0.000000000;  0.000000000
85.00000000;  0.000000000;  0.000000000
88.33333333;  0.000000000;  0.000000000
91.66666667;  0.000000000;  0.000000000
95.00000000;  0.007680558012;  0.0003121239153
98.33333333;  0.09647545509;  0.004512638053
101.6666667;  0.6935671664;  0.03679216079
105.0000000;  1.725481084;  0.1224501313
108.3333333;  2.256495150;  0.2416938158
111.6666667;  2.593784403;  0.3873254536
115.0000000;  2.595752730;  0.5418978403
118.3333333;  2.180917802;  0.6794048120
121.6666667;  1.593750091;  0.7856313711
125.0000000;  1.103636464;  0.8632765169
128.3333333;  0.7925383265;  0.9220479317
131.6666667;  0.6543073331;  0.9731218494
135.0000000;  0.5163270123;  1.015491702
138.3333333;  0.3578727566;  1.046326836
141.6666667;  0.3180896741;  1.075070854
145.0000000;  0.2704881720;  1.100677100
148.3333333;  0.2592961104;  1.126365337
151.6666667;  0.2276326155;  1.149941588
155.0000000;  0.2113791218;  1.172807300
158.3333333;  0.2137157731;  1.196930774
161.6666667;  0.2366822821;  1.224783301
165.0000000;  0.2513205249;  1.255590564
168.3333333;  0.2551614261;  1.288145135
171.6666667;  0.2931984049;  1.327048727
175.0000000;  0.2936106213;  1.367534599
178.3333333;  0.3260215843;  1.414218437
181.6666667;  0.3349031073;  1.463983478
185.0000000;  0.3819733018;  1.522844896
188.3333333;  0.4101250851;  1.588342372
191.6666667;  0.4709289635;  1.666236019
195.0000000;  0.5135233476;  1.754154970
198.3333333;  0.5019129309;  1.843048988
201.6666667;  0.5961111309;  1.952205052
205.0000000;  0.7230854532;  2.089025000
208.3333333;  0.7908124640;  2.243565674
211.6666667;  0.8429854490;  2.413615622
215.0000000;  0.8900797275;  2.598865118
218.3333333;  0.9160764946;  2.795482891
221.6666667;  0.9924188158;  3.015039474
225.0000000;  1.008545974;  3.244924766
228.3333333;  1.043784853;  3.489943812
231.6666667;  1.125158721;  3.761832344
235.0000000;  1.182651085;  4.055896539
238.3333333;  1.229629691;  4.370376880
241.6666667;  1.224433626;  4.692348909
245.0000000;  1.243916490;  5.028529472
248.3333333;  1.230630724;  5.370230918
251.6666667;  1.214246501;  5.716494734
255.0000000;  1.244372720;  6.080811815
258.3333333;  1.248574165;  6.455978074
261.6666667;  1.204681088;  6.827357018
265.0000000;  1.205453139;  7.208502094
268.3333333;  1.138560982;  7.577610249
271.6666667;  1.187519012;  7.972214023
275.0000000;  1.181128440;  8.374384642
278.3333333;  1.236934691;  8.805829114
281.6666667;  1.242794264;  9.249762416
285.0000000;  1.220544283;  9.696128017
288.3333333;  1.189574008;  10.14140323
291.6666667;  1.199113277;  10.60068694
295.0000000;  1.126431056;  11.04204979
298.3333333;  1.192770672;  11.52002738
301.6666667;  1.155034265;  11.99328372
305.0000000;  1.132763224;  12.46772848
308.3333333;  1.093712214;  12.93588465
311.6666667;  1.097677292;  13.41595186
315.0000000;  1.115686553;  13.91438839
318.3333333;  1.080333760;  14.40729956
321.6666667;  1.079796936;  14.91033733
325.0000000;  1.071739970;  15.42002305
328.3333333;  1.037153754;  15.92343015
331.6666667;  1.024829763;  16.43100669
335.0000000;  1.020138619;  16.94646660
338.3333333;  1.010426262;  17.46722972
341.6666667;  0.9740477426;  17.97918428
345.0000000;  0.9860536263;  18.50761081
348.3333333;  0.9378682108;  19.01997375
351.6666667;  0.9770892753;  19.56402826
355.0000000;  0.9590765981;  20.10822470
358.3333333;  0.9597740449;  20.66309191
361.6666667;  0.9881863066;  21.24506296
365.0000000;  0.9546607408;  21.81770116
368.3333333;  0.9612604831;  22.40487758
371.6666667;  0.9472249845;  22.99400032
375.0000000;  0.9158920334;  23.57389909
378.3333333;  0.9139192569;  24.16288154
381.6666667;  0.9337341869;  24.77528410
385.0000000;  0.9331156586;  25.39801749
388.3333333;  0.9310335019;  26.03016703
391.6666667;  0.9450812796;  26.68291798
395.0000000;  0.9446066219;  27.34649335
398.3333333;  0.9373822556;  28.01615445
